investigation,domain,kind,ip,port,url,title,org,country_code,found_by,timestamp
www.betsson1002.com,smartrecruiters.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,talech.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,webex.com,facet_domain,,,,,,,Certificate name,
www.betsson1002.com,akamaitechnologies.com,facet_domain,,,,,,,Hostname,
www.betsson1002.com,performgroup.com,facet_domain,,,,,,,Hostname,
www.betsson1002.com,premiumtv.co.uk,facet_domain,,,,,,,Hostname,
www.betsson1002.com,optasports.com,facet_domain,,,,,,,Hostname,
www.betsson1002.com,performfeeds.com,facet_domain,,,,,,,Hostname,
www.betsson1002.com,akamaiedge.net,facet_domain,,,,,,,Hostname,
www.betsson1002.com,gamtest.se,facet_domain,,,,,,,Hostname,
www.betsson1002.com,silabs.se,facet_domain,,,,,,,Hostname,
www.betsson1002.com,veikkaus.fi,facet_domain,,,,,,,Hostname,
www.betsson1002.com,bpsgameserver.com,facet_domain,,,,,,,Hostname,
www.betsson1002.com,cortijolapasion.mx,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,abbeyroadsurgery.co.uk,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,contaboserver.net,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,jugarcasinoonlinecolombia.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,reach-dev.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,allezsportsbet.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,altoquecasino.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,amazecasino.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,amonteva.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,andarvex.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,balanzaapuestas.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,balizacasino.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,bannersson.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,bestrouletteonline.org,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,betssonprovincia.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,bitacoraapuestas.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,blackjackkasyno.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,bonuscomparatore.it,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,bonushub.dk,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,cabalagana.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,calvindra.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,canliiddaaoyna.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casaarg.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casaarge.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casadearg.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casadearge.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casinoare.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casinoareg.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casinoargen.com,facet_domain,,,,,,,Page HTML,
www.betsson1002.com,casinoargt.com,facet_domain,,,,,,,Page HTML,
